y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99
1908,67,28,36,30,9,99,22,22,57,25,8,36,33,21,39,89,90,65,63,19,3,33,26,5,90,9,14,50,59,73,10,19,2,70,36,33,66,78,30,80,76,9,98,90,40,89,52,45,90,27,83,60,51,59,37,64,96,64,67,98,92,11,8,33,7,96,72,51,45,90,52,3,50,13,83,80,30,56,14,65,80,21,27,17,57,97,40,88,81,57,46,63,86,18,30,99,45,7,97,36
1737,87,2,5,21,53,26,54,65,45,79,13,84,79,88,17,48,42,9,80,90,93,32,14,75,64,38,4,45,45,54,92,62,9,58,72,50,17,89,67,67,4,37,21,70,41,34,46,34,86,54,61,18,33,13,12,92,48,81,30,50,65,18,38,43,63,0,66,19,42,17,37,79,12,6,87,73,21,61,30,6,45,71,0,10,56,64,42,32,70,34,68,55,19,34,84,98,53,56,28,76
1796,91,24,31,66,39,43,24,80,19,31,20,5,23,52,71,0,100,92,79,61,4,90,82,12,42,4,35,22,86,84,27,31,17,29,35,13,41,97,47,54,50,74,8,12,68,89,45,21,44,44,59,53,23,79,2,26,35,43,97,85,24,79,60,25,20,33,94,25,12,0,88,5,65,44,43,25,98,49,66,5,12,46,13,71,67,21,41,88,8,31,12,73,79,47,72,11,12,35,33,92
1644,77,60,73,11,92,100,23,90,39,33,18,96,6,3,26,35,76,91,75,77,9,61,20,45,54,35,5,2,13,45,40,77,25,20,12,48,96,53,68,46,64,84,95,1,35,82,51,25,67,76,74,48,29,36,70,34,32,94,52,90,3,38,54,5,86,62,45,97,49,68,24,58,42,86,27,32,82,48,56,22,53,16,83,61,86,67,64,78,83,2,71,25,80,16,9,24,36,21,2,92
1866,99,32,75,47,86,8,55,30,35,13,81,90,4,57,96,24,6,20,86,14,96,6,69,24,3,83,39,95,42,17,51,61,32,79,33,3,19,23,69,21,83,40,66,14,95,8,61,81,80,76,6,48,49,16,57,46,77,5,32,98,70,19,63,63,31,7,25,44,73,89,11,34,47,75,35,10,33,8,79,1,55,69,59,63,21,39,38,3,38,33,50,41,92,94,89,71,21,63,79,71
2099,61,42,94,89,37,39,14,100,82,71,74,13,69,41,44,16,36,11,44,63,50,64,18,80,19,6,26,93,86,37,70,5,6,35,90,97,84,54,82,30,51,73,76,96,35,42,41,87,57,9,94,95,100,12,8,39,18,100,68,91,31,5,36,58,90,32,95,41,44,84,98,1,44,52,87,20,37,90,61,46,21,95,93,14,5,23,84,4,28,17,63,50,52,50,64,74,49,32,81,60
2229,57,50,42,39,92,65,19,75,56,97,32,20,34,28,40,98,3,53,13,52,96,17,59,73,56,2,68,74,28,80,81,85,9,18,53,63,20,49,72,76,79,87,66,46,44,14,8,100,19,75,35,27,4,70,86,72,81,79,78,7,67,57,45,38,71,54,69,35,98,50,52,44,47,91,53,30,78,67,4,94,23,62,33,18,2,71,50,6,34,66,30,42,38,79,49,31,80,39,52,29
2246,36,15,42,42,55,13,20,13,43,63,48,94,26,3,43,39,0,53,25,17,94,39,92,37,81,89,82,55,83,49,31,91,70,87,1,48,63,73,44,6,63,56,21,1,56,55,49,94,71,35,7,21,80,3,31,66,4,41,45,11,74,56,16,99,87,69,18,41,24,51,61,23,21,65,40,98,8,13,28,8,16,40,13,75,76,7,67,12,4,13,93,54,43,77,34,1,89,47,20,9
1740,59,77,11,51,85,67,57,29,60,39,56,56,98,46,24,25,62,77,72,14,47,66,100,17,12,78,19,44,44,0,99,25,15,43,72,1,39,21,74,98,21,9,41,6,63,51,84,56,78,82,7,58,42,23,25,48,23,90,60,69,56,7,28,24,6,99,77,99,39,6,33,81,14,63,64,23,51,61,97,36,65,74,37,89,41,3,13,51,92,39,7,74,21,21,24,78,50,74,30,96
1648,11,56,33,99,10,16,85,86,39,83,42,4,48,21,69,81,84,79,19,15,55,6,15,27,92,14,7,86,34,48,62,48,13,44,44,3,62,62,90,40,22,27,33,8,98,74,12,43,33,8,45,17,76,77,92,64,7,28,71,57,64,0,16,82,36,16,50,19,62,1,48,51,41,45,41,58,64,32,98,31,11,32,30,88,21,3,94,32,60,38,63,28,70,16,50,36,92,79,10,85
